,INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
37282,FAILED,CN061014,OPEN,PERIODIC,small,-87.72160109,41.95552295,CONSERVATION
76414,FAILED,CN190019,OPEN,COMPLAINT,small,-87.71345777,41.920875200000005,CONSERVATION
33125,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.65147320000001,41.76239374,DEMOLITION
64102,CLOSED,BR2010,OPEN,PERIODIC,small,-87.63865369,41.91784062,BOILER
45889,FAILED,CN196019,OPEN,COMPLAINT,small,-87.62382337,41.6954188,CONSERVATION
58187,FAILED,PL159057,OPEN,COMPLAINT,small,-87.653157,41.7802849,CONSERVATION
42877,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.65253885,41.74559294,DEMOLITION
18339,PASSED,VT1010,COMPLIED,PERMIT,small,-87.64739334,41.87816575,VENTILATION
65337,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.6264704,41.70358959,DEMOLITION
31711,FAILED,CN101015,OPEN,PERIODIC,small,-87.66355259,41.74878767,CONSERVATION
20069,FAILED,NC2011,OPEN,COMPLAINT,small,-87.74807794,41.89408503,CONSERVATION
52193,FAILED,EL0010,OPEN,COMPLAINT,small,-87.69708682,41.84653919,CONSERVATION
68148,CLOSED,CN193029,OPEN,COMPLAINT,small,-87.66926168,41.82795712,DEMOLITION
20430,CLOSED,CN193029,COMPLIED,COMPLAINT,small,-87.74697787,41.87937041,DEMOLITION
47421,FAILED,CN066034,OPEN,COMPLAINT,small,-87.71079475,41.87883627,CONSERVATION
16252,FAILED,CN064014,OPEN,COMPLAINT,small,-87.66568690000001,41.98440565,CONSERVATION
55489,FAILED,CN194029,OPEN,COMPLAINT,small,-87.64750168,41.90931377,SPECIAL INSPECTION PROGRAM
5633,PASSED,CN190020,COMPLIED,PERMIT,small,-87.62611526,41.72263624,NEW CONSTRUCTION
52548,FAILED,VT1010,OPEN,PERMIT,small,-87.63418484,41.89038185,VENTILATION
39120,FAILED,CN198019,OPEN,PERIODIC,small,-87.75828752,41.88244122,CONSERVATION
26456,FAILED,CN070014,OPEN,COMPLAINT,small,-87.67856708,41.68445031,CONSERVATION
12824,FAILED,CN190019,OPEN,COMPLAINT,small,-87.69805129,41.80926673,CONSERVATION
20735,FAILED,CN190019,OPEN,COMPLAINT,small,-87.72160434,41.87269604,CONSERVATION
42567,FAILED,CN073014,OPEN,COMPLAINT,small,-87.54715159,41.73339999,CONSERVATION
5933,FAILED,CN197087,OPEN,COMPLAINT,small,-87.67226509999999,41.68901968,CONSERVATION
21295,CLOSED,CN193000,OPEN,COMPLAINT,small,-87.5666422,41.76524576,DEMOLITION
69656,FAILED,CN196029,OPEN,COMPLAINT,small,-87.65553778,41.7783751,CONSERVATION
76112,FAILED,CN104015,OPEN,COMPLAINT,small,-87.71769815,41.92813705,CONSERVATION
35020,CLOSED,CN193039,COMPLIED,COMPLAINT,small,-87.64886173,41.79104258,DEMOLITION
67487,FAILED,CN190019,OPEN,COMPLAINT,small,-87.67424390000001,41.91224855,CONSERVATION
46190,FAILED,CN131026,OPEN,COMPLAINT,small,-87.60360769,41.80305674,CONSERVATION
44049,FAILED,CN194019,OPEN,COMPLAINT,small,-87.69608493,41.846331299999996,CONSERVATION
15564,FAILED,CN138056,OPEN,COMPLAINT,small,-87.75014472,41.88372936,CONSERVATION
35192,FAILED,CN196029,OPEN,COMPLAINT,small,-87.76201674,41.91213333,CONSERVATION
59192,FAILED,CN106015,OPEN,COMPLAINT,small,-87.60821412,41.69929846,SPECIAL TASK FORCE
42213,FAILED,CN197019,OPEN,COMPLAINT,small,-87.60402862,41.74824166,CONSERVATION
77755,FAILED,CN074014,OPEN,COMPLAINT,small,-87.61945999,41.69160681,CONSERVATION
38568,FAILED,CN140016,OPEN,COMPLAINT,small,-87.65570861,41.76128196,CONSERVATION
61165,FAILED,CN103035,OPEN,PERIODIC,small,-87.64845600000001,41.83362279999999,CONSERVATION
11266,FAILED,NC2071,OPEN,COMPLAINT,small,-87.72585348,41.8067287,CONSERVATION
81146,FAILED,NC2022,OPEN,COMPLAINT,small,-87.61313765,41.8208982,NEW CONSTRUCTION
49022,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.57581139,41.75038814,DEMOLITION
28135,FAILED,NC2011,OPEN,COMPLAINT,small,-87.656463,41.72179872,NEW CONSTRUCTION
22940,CLOSED,BR1001,OPEN,PERIODIC,small,-87.69506182,41.85179676,BOILER
65928,FAILED,EV1110,OPEN,COMPLAINT,small,-87.6226194,41.89106986,ELEVATOR
5949,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.61997362,41.75368073,DEMOLITION
64450,FAILED,CN061014,OPEN,COMPLAINT,small,-87.63764189,41.91512351,CONSERVATION
63557,FAILED,CN101015,OPEN,COMPLAINT,small,-87.68209237,42.00908097,CONSERVATION
1757,FAILED,EL0085,OPEN,PERMIT,small,-87.71071189,41.87663771,ELECTRICAL
46264,FAILED,CN073014,OPEN,COMPLAINT,small,-87.6501184,41.69055429,CONSERVATION
73996,FAILED,NC2011,OPEN,COMPLAINT,small,-87.64921417,41.942819899999996,SPECIAL INSPECTION PROGRAM
84609,FAILED,PL232050,OPEN,COMPLAINT,small,-87.625801,41.69833661,PLUMBING
51476,FAILED,199029,OPEN,COMPLAINT,small,-87.71673415,41.92105543,VENTILATION
61371,FAILED,CN076054,OPEN,COMPLAINT,small,-87.70337782,41.95720359,PLUMBING
24100,FAILED,EL0091,COMPLIED,COMPLAINT,small,-87.67761095,41.9032948,SPECIAL TASK FORCE
22643,FAILED,PL171027,OPEN,COMPLAINT,small,-87.76160411,41.88625752,SPECIAL TASK FORCE
38710,FAILED,CN196029,OPEN,COMPLAINT,small,-87.67681149,41.80207203,SPECIAL TASK FORCE
58208,FAILED,CN104015,OPEN,COMPLAINT,small,-87.74759672,41.92094353,CONSERVATION
29411,FAILED,VT1050,OPEN,PERIODIC,small,-87.74199681,41.93170309,VENTILATION
21350,FAILED,CN108015,OPEN,PERIODIC,small,-87.60307936,41.74570875,CONSERVATION
81138,FAILED,CN196029,OPEN,PERIODIC,small,-87.68777826,42.0194052,CONSERVATION
64140,FAILED,NC3022,OPEN,COMPLAINT,small,-87.63425244,41.854273299999996,SPECIAL TASK FORCE
9296,FAILED,CN197019,OPEN,COMPLAINT,small,-87.61321348,41.68410366,CONSERVATION
78432,FAILED,NC2022,OPEN,COMPLAINT,small,-87.56350665,41.73712192,NEW CONSTRUCTION
53299,FAILED,EL0019,OPEN,COMPLAINT,small,-87.66512881,41.75022232,CONSERVATION
9757,FAILED,NC2021,OPEN,COMPLAINT,small,-87.7099885,41.79899887,CONSERVATION
43275,FAILED,CN074014,OPEN,COMPLAINT,small,-87.58937223,41.75609192,CONSERVATION
30523,FAILED,CN198019,OPEN,COMPLAINT,small,-87.65615809999998,41.9723722,SPECIAL TASK FORCE
82579,FAILED,CN140016,OPEN,PERIODIC,small,-87.5952258,41.80187644,CONSERVATION
62334,FAILED,CN065034,OPEN,COMPLAINT,small,-87.60366347,41.74372679,CONSERVATION
71874,FAILED,CN198019,OPEN,COMPLAINT,small,-87.72741966,41.85580665,CONSERVATION
81287,FAILED,CN070024,OPEN,COMPLAINT,small,-87.61330466,41.69555683,CONSERVATION
15423,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.55009339,41.73319822,DEMOLITION
66541,FAILED,CN074014,OPEN,COMPLAINT,small,-87.58460312,41.76514765,CONSERVATION
2709,FAILED,CN065034,OPEN,PERIODIC,small,-87.66461609,41.85771273,CONSERVATION
11934,FAILED,CN067024,OPEN,COMPLAINT,small,-87.66308093,41.95171138,CONSERVATION
72105,FAILED,CN197019,OPEN,COMPLAINT,small,-87.55421294,41.75323042,CONSERVATION
72250,FAILED,CN131026,OPEN,COMPLAINT,small,-87.72277693,41.90221204,CONSERVATION
57401,FAILED,VT1010,OPEN,PERMIT,small,-87.69563086,41.91077963,VENTILATION
14184,FAILED,CN076044,OPEN,COMPLAINT,small,-87.6873642,41.76656163,CONSERVATION
61348,FAILED,CN074024,OPEN,COMPLAINT,small,-87.63246873,41.71967753,CONSERVATION
37721,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.66140049,41.80606065,DEMOLITION
56607,PASSED,EL0085,COMPLIED,PERMIT,small,-87.70840011,41.75162531,ELECTRICAL
83277,FAILED,CN135016,OPEN,COMPLAINT,small,-87.71686535,41.83635713,CONSERVATION
56303,CLOSED,CN015012,COMPLIED,COMPLAINT,small,-87.69898464,41.80942268,CONSERVATION
15537,FAILED,EL0001,OPEN,COMPLAINT,small,-87.67226509999999,41.68901968,SPECIAL TASK FORCE
5972,CLOSED,CN193000,OPEN,COMPLAINT,small,-87.62180601,41.76413,DEMOLITION
6452,FAILED,EL0025,OPEN,COMPLAINT,small,-87.69773796,41.98028163,ELECTRICAL
72424,FAILED,CN190019,OPEN,COMPLAINT,small,-87.702883,41.95039713,CONSERVATION
84643,FAILED,CN067014,OPEN,COMPLAINT,small,-87.7637164,41.77539858,CONSERVATION
19827,FAILED,CN101015,OPEN,COMPLAINT,small,-87.58347257,41.73616073,CONSERVATION
50551,FAILED,CN131016,OPEN,COMPLAINT,small,-87.76670625,41.88176656,SPECIAL TASK FORCE
51640,FAILED,CN065034,OPEN,COMPLAINT,small,-87.66611440000001,41.81067041,CONSERVATION
9795,FAILED,CN104015,OPEN,COMPLAINT,small,-87.68150143,42.01320086,CONSERVATION
36072,FAILED,EL0029,OPEN,PERIODIC,small,-87.65512984,41.9753331,CONSERVATION
68741,FAILED,CN104015,OPEN,COMPLAINT,small,-87.63968281,41.67902394,CONSERVATION
6446,FAILED,PL157047,OPEN,COMPLAINT,small,-87.7125249,41.87946316,CONSERVATION
30534,FAILED,CN066034,OPEN,COMPLAINT,small,-87.62957889,41.76346589,CONSERVATION
26415,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.67776355,41.79248508,DEMOLITION
6510,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.63579895,41.7657656,DEMOLITION
29379,FAILED,CN073014,OPEN,COMPLAINT,small,-87.77051969,41.91195827,CONSERVATION
52342,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.58653805,41.72663358,DEMOLITION
21660,FAILED,CN107025,OPEN,COMPLAINT,small,-87.60968664,41.75838963,CONSERVATION
70756,FAILED,EV1110,COMPLIED,PERMIT,small,-87.65332116,41.87646956,ELEVATOR
48248,FAILED,CN194039,OPEN,PERIODIC,small,-87.6607064,41.92421387,VENTILATION
60631,FAILED,EL0096,OPEN,COMPLAINT,small,-87.78418655,41.79218689,SIGNS
73446,CLOSED,CEE419,COMPLIED,COMPLAINT,small,-87.68437888,41.9175153,CONSTRUCTION EQUIPMENT
26328,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.64764197,41.71041686,DEMOLITION
5760,FAILED,CN198019,OPEN,COMPLAINT,small,-87.67062318,42.00118837,CONSERVATION
52614,FAILED,CN012022,OPEN,PERIODIC,small,-87.64560304,41.81702437,SPECIAL INSPECTION PROGRAM
68029,FAILED,EV1110,OPEN,PERMIT,small,-87.62782920000001,41.89499061,ELEVATOR
15711,FAILED,CN065034,OPEN,COMPLAINT,small,-87.76938886,41.90901637,CONSERVATION
81236,FAILED,CN190019,OPEN,COMPLAINT,small,-87.7619344,41.94056992,CONSERVATION
75684,FAILED,EL0085,OPEN,PERMIT,small,-87.64988809,41.82955344,ELECTRICAL
12938,FAILED,CN063014,OPEN,COMPLAINT,small,-87.76218165,41.87374665,CONSERVATION
35906,FAILED,EV1111,OPEN,PERIODIC,small,-87.67210021,41.89833693,ELEVATOR
78856,FAILED,CN073014,OPEN,COMPLAINT,small,-87.58422716,41.76721466,CONSERVATION
74911,FAILED,VT1010,OPEN,PERMIT,small,-87.62413103,41.89603605,VENTILATION
78497,FAILED,CN190019,OPEN,COMPLAINT,small,-87.67663974,41.92036908,CONSERVATION
79431,FAILED,CN065014,OPEN,COMPLAINT,small,-87.76537008,41.93713926,CONSERVATION
27385,FAILED,CN190019,OPEN,COMPLAINT,small,-87.62867662,41.72756605,SPECIAL TASK FORCE
83975,FAILED,CN196029,OPEN,PERIODIC,small,-87.60378893,41.80018559,CONSERVATION
39511,FAILED,CN140016,OPEN,COMPLAINT,small,-87.55419512,41.74851813,SPECIAL TASK FORCE
13372,FAILED,CN076014,OPEN,COMPLAINT,small,-87.70138362,41.85026282,CONSERVATION
54696,FAILED,CN015062,OPEN,COMPLAINT,small,-87.63606586,41.8940729,SPECIAL INSPECTION PROGRAM
60778,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.62640557,41.70723644,DEMOLITION
2232,FAILED,EL0085,OPEN,PERMIT,small,-87.77662261,41.9104072,ELECTRICAL
71472,FAILED,CN190019,OPEN,PERIODIC,small,-87.62398172,41.85360329,CONSERVATION
78068,CLOSED,CN193000,OPEN,COMPLAINT,small,-87.60919378,41.77682906,DEMOLITION
3866,CLOSED,CN070024,COMPLIED,COMPLAINT,small,-87.72159717,41.86792609,CONSERVATION
31423,FAILED,CN197089,OPEN,COMPLAINT,small,-87.64986799,41.74739816,CONSERVATION
15745,FAILED,CN013012,OPEN,COMPLAINT,small,-87.72626433,41.91236333,CONSERVATION
28988,FAILED,CN061014,OPEN,COMPLAINT,small,-87.63005473,41.76736054,CONSERVATION
74408,PASSED,EV1111,COMPLIED,PERMIT,small,-87.64753576,41.88256341,ELEVATOR
69259,FAILED,EL0086,OPEN,COMPLAINT,small,-87.70447435,41.95323254,ELECTRICAL
75821,FAILED,CN131016,OPEN,COMPLAINT,small,-87.53301407,41.71668421,CONSERVATION
41878,FAILED,CN062024,OPEN,COMPLAINT,small,-87.7629082,41.87735484,CONSERVATION
61299,CLOSED,CN193029,OPEN,COMPLAINT,small,-87.69811858,41.92252878,DEMOLITION
7539,FAILED,CN138106,OPEN,COMPLAINT,small,-87.56260618,41.74351497,CONSERVATION
55478,FAILED,CN070024,OPEN,COMPLAINT,small,-87.68966628,41.95297024,CONSERVATION
76303,FAILED,CN076044,OPEN,COMPLAINT,small,-87.68841601,41.87193852,CONSERVATION
69975,FAILED,CN190019,OPEN,COMPLAINT,small,-87.71085614,41.904729499999995,CONSERVATION
38658,FAILED,EL0085,OPEN,COMPLAINT,small,-87.77322263,41.90625329,SPECIAL TASK FORCE
59582,FAILED,CN061014,COMPLIED,COMPLAINT,small,-87.77789812,41.91227304,CONSERVATION
39488,CLOSED,CN193039,COMPLIED,COMPLAINT,small,-87.65056002,41.76263297,DEMOLITION
26196,FAILED,CN190029,OPEN,PERIODIC,small,-87.65238436,41.920650099999996,CONSERVATION
39485,FAILED,EL0084,OPEN,COMPLAINT,small,-87.66139895,41.80600422,SPECIAL TASK FORCE
54884,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.61443463,41.77449087,DEMOLITION
29191,FAILED,EV1110,COMPLIED,PERMIT,small,-87.63861706,41.89484291,ELEVATOR
81073,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.62669305,41.76520804,DEMOLITION
48169,FAILED,CN196029,OPEN,COMPLAINT,small,-87.73994727,41.73466127,CONSERVATION
78147,FAILED,CN190019,OPEN,COMPLAINT,small,-87.73520897,41.90796221,CONSERVATION
30242,FAILED,CN074014,OPEN,COMPLAINT,small,-87.64014453,41.73713175,CONSERVATION
6049,PASSED,EV1111,COMPLIED,PERIODIC,small,-87.66688983,41.87870717,ELEVATOR
74079,FAILED,PL194029,OPEN,COMPLAINT,small,-87.75726359999999,41.88045541,SPECIAL TASK FORCE
48605,FAILED,NC2022,OPEN,COMPLAINT,small,-87.64771198,41.92625847,NEW CONSTRUCTION
82182,CLOSED,BR3054,OPEN,PERIODIC,small,-87.62859008,41.84403809,BOILER
85412,FAILED,PL161017,OPEN,COMPLAINT,small,-87.61232337,41.69345844,CONSERVATION
27327,FAILED,CN070014,OPEN,COMPLAINT,small,-87.61047612,41.76160016,SPECIAL TASK FORCE
58318,FAILED,CN196029,OPEN,COMPLAINT,small,-87.6716797,41.85509247,CONSERVATION
11056,FAILED,CN194039,OPEN,COMPLAINT,small,-87.71637756,41.85207044,CONSERVATION
17357,FAILED,EL0096,OPEN,COMPLAINT,small,-87.66026457,41.9947592,SIGNS
23172,FAILED,CN104075,OPEN,COMPLAINT,small,-87.58197749,41.75164105,CONSERVATION
36702,FAILED,CN135016,OPEN,PERIODIC,small,-87.63327883,41.76472072,CONSERVATION
60212,FAILED,CN190019,OPEN,COMPLAINT,small,-87.70876926,41.91593299,CONSERVATION
53722,PASSED,VT1010,OPEN,PERMIT,small,-87.74350187,41.98860402,VENTILATION
27801,FAILED,CN196029,OPEN,COMPLAINT,small,-87.59090933,41.76844192,CONSERVATION
31459,FAILED,CN131026,COMPLIED,COMPLAINT,small,-87.72440590000001,41.93583506,CONSERVATION
25086,FAILED,CN190020,OPEN,PERIODIC,small,-87.7487505,41.95414263,CONSERVATION
73935,CLOSED,EL0085,OPEN,PERMIT,small,-87.65592602,41.74708396,ELECTRICAL
78573,FAILED,EV1110,OPEN,PERMIT,small,-87.62449175,41.88137106,ELEVATOR
25282,FAILED,CN065014,OPEN,COMPLAINT,small,-87.57028269,41.75156886,CONSERVATION
55776,FAILED,CN048013,OPEN,COMPLAINT,small,-87.66739055,41.93686171,CONSERVATION
56832,FAILED,CN104015,OPEN,PERIODIC,small,-87.76467523,41.87907221,CONSERVATION
45874,FAILED,CN197019,OPEN,COMPLAINT,small,-87.71986436,41.8458977,CONSERVATION
66810,FAILED,CN133016,OPEN,COMPLAINT,small,-87.61583014,41.78256968,CONSERVATION
24839,FAILED,CN197019,OPEN,COMPLAINT,small,-87.72425348,41.8669823,CONSERVATION
66691,FAILED,CN198019,OPEN,PERIODIC,small,-87.64848809,41.92190996,CONSERVATION
80806,FAILED,CN190019,OPEN,COMPLAINT,small,-87.62473434,41.76426518,SPECIAL TASK FORCE
74581,FAILED,CN065034,OPEN,COMPLAINT,small,-87.58504761,41.75888609,CONSERVATION
4235,FAILED,CN041063,OPEN,COMPLAINT,small,-87.70565748,41.87037347,CONSERVATION
18794,FAILED,CN061014,OPEN,COMPLAINT,small,-87.75860848,41.91933226,CONSERVATION
69257,FAILED,EL0084,OPEN,COMPLAINT,small,-87.67287752,41.97988342,SPECIAL TASK FORCE
57677,FAILED,CN196029,OPEN,COMPLAINT,small,-87.7299375,41.88078403,CONSERVATION
64889,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.62055308,41.67454454,DEMOLITION
24835,FAILED,CN062014,OPEN,COMPLAINT,small,-87.72425348,41.8669823,CONSERVATION
24966,FAILED,EL0029,OPEN,COMPLAINT,small,-87.6717938,41.78571682,CONSERVATION
22862,FAILED,CN135016,OPEN,COMPLAINT,small,-87.66830162,41.80211419,CONSERVATION
55655,FAILED,CN070034,OPEN,COMPLAINT,small,-87.76503586,41.93939847,CONSERVATION
55896,FAILED,CN065034,OPEN,COMPLAINT,small,-87.58321095,41.75353953,CONSERVATION
24296,FAILED,CN079024,OPEN,COMPLAINT,small,-87.71342875,41.89171357,CONSERVATION
23700,FAILED,RF301041,OPEN,PERIODIC,small,-87.6412921,41.74332105,REFRIGERATION
8603,FAILED,CN070024,OPEN,COMPLAINT,small,-87.74087598,41.96456135,CONSERVATION
49175,FAILED,CN197039,OPEN,PERIODIC,small,-87.61837536,41.81204946,CONSERVATION
24228,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.63697826,41.75459569,DEMOLITION
71324,FAILED,CN190019,OPEN,PERIODIC,small,-87.58580205,41.73805575,SPECIAL INSPECTION PROGRAM
28658,FAILED,CN046013,OPEN,COMPLAINT,small,-87.75438086,41.94752286,CONSERVATION
69258,FAILED,EL0019,OPEN,COMPLAINT,small,-87.67287752,41.97988342,SPECIAL TASK FORCE
58015,FAILED,EV1110,COMPLIED,PERIODIC,small,-87.65858654,41.99733978,ELEVATOR
34316,FAILED,EL0084,OPEN,PERMIT,small,-87.64907675,41.93282831,ELECTRICAL
1431,FAILED,CN062024,OPEN,COMPLAINT,small,-87.68118048,41.94876196,CONSERVATION
44235,FAILED,CN015062,OPEN,PERIODIC,small,-87.57689935,41.76421668,CONSERVATION
4218,FAILED,CN062034,OPEN,COMPLAINT,small,-87.63246595,41.81468806,CONSERVATION
76574,FAILED,EV1110,OPEN,PERMIT,small,-87.68239966,41.86760007,ELEVATOR
59716,FAILED,CN190019,OPEN,COMPLAINT,small,-87.75338094,41.87967353,CONSERVATION
74526,FAILED,CN194029,OPEN,COMPLAINT,small,-87.64053932,41.6772234,SPECIAL INSPECTION PROGRAM
36933,PASSED,EV1111,COMPLIED,PERIODIC,small,-87.66865163,41.98218989,ELEVATOR
29718,FAILED,NC2071,OPEN,COMPLAINT,small,-87.7220259,41.87155896,CONSERVATION
19354,FAILED,CN063014,OPEN,COMPLAINT,small,-87.66977892,41.80078791,CONSERVATION
38815,FAILED,CN070024,OPEN,COMPLAINT,small,-87.70893282,41.92232529,CONSERVATION
60894,FAILED,CN061014,OPEN,COMPLAINT,small,-87.61511153,41.76459885,CONSERVATION
40583,FAILED,PL237014,OPEN,COMPLAINT,small,-87.65054774,41.7284723,SPECIAL TASK FORCE
62549,FAILED,EV1110,OPEN,PERIODIC,small,-87.67006247,41.91342543,ELEVATOR
42482,FAILED,CN107015,OPEN,COMPLAINT,small,-87.64446307,41.77296603,CONSERVATION
3147,FAILED,PL159057,OPEN,COMPLAINT,small,-87.61961976,41.67726823,PLUMBING
57031,FAILED,CN074024,OPEN,COMPLAINT,small,-87.75156268,41.88893808,CONSERVATION
73807,FAILED,NC2021,OPEN,PERIODIC,small,-87.70472288,41.91215141,CONSERVATION
57968,FAILED,CN074024,OPEN,COMPLAINT,small,-87.72254278,41.86470477,CONSERVATION
52996,FAILED,EL0018,OPEN,COMPLAINT,small,-87.56373651,41.75576494,ELECTRICAL
10760,FAILED,VT2020,OPEN,COMPLAINT,small,-87.64173836,41.93045255,VENTILATION
4650,FAILED,CN190019,OPEN,COMPLAINT,small,-87.76160411,41.88625752,CONSERVATION
29402,FAILED,CN070014,OPEN,COMPLAINT,small,-87.64490859,41.69076392,CONSERVATION
50296,FAILED,CN061014,OPEN,PERIODIC,small,-87.68373339,42.01459164,CONSERVATION
42696,FAILED,CN070014,OPEN,COMPLAINT,small,-87.72865721,41.86500951,CONSERVATION
67055,FAILED,CN104015,OPEN,PERIODIC,small,-87.65406826,41.97343519,CONSERVATION
6704,FAILED,CN106015,OPEN,COMPLAINT,small,-87.73341208,41.77864307,SPECIAL INSPECTION PROGRAM
12706,CLOSED,CN002081,OPEN,COMPLAINT,small,-87.74292220000001,41.89421366,DEMOLITION
48260,FAILED,CN198019,OPEN,PERIODIC,small,-87.67154909,42.00547041,CONSERVATION
12785,FAILED,CN101015,OPEN,COMPLAINT,small,-87.68219212,41.99250579,CONSERVATION
83203,FAILED,CN190019,OPEN,COMPLAINT,small,-87.64701614,41.86553858,PLUMBING
50400,FAILED,CN197019,OPEN,COMPLAINT,small,-87.55781696,41.74744077,CONSERVATION
14284,FAILED,CN077014,OPEN,COMPLAINT,small,-87.82290418,41.94103201,CONSERVATION
57747,FAILED,CN106015,OPEN,COMPLAINT,small,-87.61868045,41.703232899999996,CONSERVATION
24176,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.66424343,41.9499392,DEMOLITION
23039,FAILED,EL0096,OPEN,COMPLAINT,small,-87.60679041,41.812968,SIGNS
48290,FAILED,CN062024,OPEN,COMPLAINT,small,-87.64319782,41.7596895,CONSERVATION
80849,FAILED,CN196029,OPEN,COMPLAINT,small,-87.72462196,41.97087076,CONSERVATION
38846,FAILED,CN104015,OPEN,PERIODIC,small,-87.66319456,41.73511231,CONSERVATION
1541,FAILED,CN196029,OPEN,COMPLAINT,small,-87.65711893,41.79274204,CONSERVATION
69090,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.71665396,41.93485154,DEMOLITION
3401,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.67573372,41.77012646,DEMOLITION
9171,PASSED,VT1030,COMPLIED,PERMIT,small,-87.72753181,41.77980477,VENTILATION
49470,CLOSED,BR1001,OPEN,PERIODIC,small,-87.67330765,41.807755,BOILER
74577,FAILED,CN062024,OPEN,COMPLAINT,small,-87.57282024,41.76765756,CONSERVATION
55718,FAILED,CN062024,OPEN,COMPLAINT,small,-87.65553631,41.77831855,CONSERVATION
69590,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.56080254,41.71105111,DEMOLITION
77561,FAILED,CN074024,OPEN,COMPLAINT,small,-87.69439009,41.85280016,CONSERVATION
54617,FAILED,CN076034,OPEN,COMPLAINT,small,-87.65356837,41.859323100000005,CONSERVATION
35927,FAILED,CN070014,OPEN,COMPLAINT,small,-87.55401715,41.73595615,SPECIAL TASK FORCE
72608,FAILED,CN070024,OPEN,COMPLAINT,small,-87.76540877,41.92844163,CONSERVATION
77955,CLOSED,CN193019,OPEN,COMPLAINT,small,-87.67483479,41.76260068,DEMOLITION
11962,FAILED,ELGB04,OPEN,PERMIT,small,-87.74565963,41.87417192,ELECTRICAL
10404,FAILED,CN101015,OPEN,COMPLAINT,small,-87.6069948,41.77820355,CONSERVATION
28457,FAILED,CN101015,OPEN,COMPLAINT,small,-87.62141349,41.71277078,CONSERVATION
14185,FAILED,CN070024,OPEN,COMPLAINT,small,-87.6873642,41.76656163,CONSERVATION
13560,FAILED,CN061014,OPEN,COMPLAINT,small,-87.72226065,41.89551225,CONSERVATION
64792,CLOSED,CN193110,OPEN,COMPLAINT,small,-87.62439476,41.69723711,DEMOLITION
25919,FAILED,CN067014,OPEN,COMPLAINT,small,-87.56613336,41.75408884,CONSERVATION
12738,FAILED,CN190019,OPEN,COMPLAINT,small,-87.76348647,41.77722991,CONSERVATION
30874,FAILED,CN061014,OPEN,PERIODIC,small,-87.63021181,41.78912948,CONSERVATION
35640,FAILED,CN104035,OPEN,COMPLAINT,small,-87.6562222,41.80516897,SPECIAL TASK FORCE
23752,FAILED,EL0096,OPEN,COMPLAINT,small,-87.69804155,41.94173696,SIGNS
73197,FAILED,CN010022,OPEN,COMPLAINT,small,-87.59927461,41.778402899999996,CONSERVATION
30313,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.65308302,41.77743768,DEMOLITION
29847,CLOSED,CN196039,OPEN,COMPLAINT,small,-87.69703233,41.77253705,DEMOLITION
40647,FAILED,EL0029,OPEN,COMPLAINT,small,-87.64866367,41.73733454,SPECIAL TASK FORCE
35156,FAILED,CN065014,OPEN,PERIODIC,small,-87.67082736,42.01714243,CONSERVATION
22529,FAILED,RF301031,OPEN,PERIODIC,small,-87.62981979,41.77280932,REFRIGERATION
44946,FAILED,CN079014,OPEN,COMPLAINT,small,-87.58223803,41.763636600000005,CONSERVATION
81655,FAILED,CN106015,OPEN,COMPLAINT,small,-87.62754901,41.89076289,SPECIAL INSPECTION PROGRAM
21176,FAILED,CN062024,OPEN,COMPLAINT,small,-87.72644326,41.90246838,SPECIAL TASK FORCE
4770,FAILED,CN196039,OPEN,COMPLAINT,small,-87.71461629999999,41.96460056,CONSERVATION
48913,FAILED,EV1110,COMPLIED,PERMIT,small,-87.63480417,41.89730374,ELEVATOR
55036,FAILED,NC3012,OPEN,COMPLAINT,small,-87.56200999,41.7125679,CONSERVATION
1699,FAILED,NC8012,OPEN,PERIODIC,small,-87.64882517,41.92308646,CONSERVATION
13932,CLOSED,CN002052,OPEN,COMPLAINT,small,-87.67178763,41.78549095,DEMOLITION
63490,FAILED,CN070014,OPEN,COMPLAINT,small,-87.64840201,41.77313078,CONSERVATION
25230,FAILED,CN190019,OPEN,PERIODIC,small,-87.66177946,41.94855304,CONSERVATION
